,player,expected win
275,964,1.2977005201329218e-41
276,965,1.4293914639932757e-41
277,159,1.5644537868962637e-41
278,452,1.7607440184129222e-41
279,474,1.8088468409767522e-41
280,157,1.926541562007595e-41
281,639,2.3549899955888237e-41
282,952,3.106884579627216e-41
283,763,3.318590037887378e-41
284,454,3.345964756580509e-41
285,258,3.6788531076599293e-41
286,504,4.295043641661379e-41
287,458,5.934702100281892e-41
288,651,6.582555773973198e-41
289,447,7.133450186397702e-41
290,809,7.621109121438415e-41
291,78,8.535869731978782e-41
292,216,8.663624998358488e-41
293,682,9.375609503689542e-41
294,267,1.0175342511238273e-40
295,767,1.0241625395675699e-40
296,88,1.0247066242991634e-40
297,434,1.2626897281741698e-40
298,497,1.2898596461870518e-40
299,764,1.7016533259428143e-40
300,85,1.819509142005308e-40
301,662,1.873876346589866e-40
302,302,1.894288706886607e-40
303,783,2.004943875227428e-40
304,388,2.168918806407881e-40
305,879,2.5189031214218675e-40
306,321,2.556614932087814e-40
307,222,2.6110271129235864e-40
308,63,2.835203763488615e-40
309,873,2.9087972450960362e-40
310,972,4.781403942540511e-40
311,808,5.144684731933369e-40
312,149,5.83758652478261e-40
313,955,6.7356879890067366e-40
314,826,6.753359534420568e-40
315,101,6.771043228080156e-40
316,4,6.908892485305414e-40
317,789,7.623337683699537e-40
318,261,8.300866621173943e-40
319,596,8.872683802647652e-40
320,953,9.167906174636017e-40
321,312,1.1460825421615882e-39
322,438,1.1717500501641523e-39
323,621,1.2023000597325724e-39
324,522,1.3110616560540795e-39
325,350,1.389650849797218e-39
326,259,1.539397329049071e-39
327,365,1.8194325321593354e-39
328,465,1.8763976869681726e-39
329,650,1.9024435852412075e-39
330,931,1.920617534292875e-39
331,586,2.075218968147967e-39
332,766,2.3452012438071463e-39
333,768,2.471034927584324e-39
334,573,2.9094847810311044e-39
335,987,4.298090411274484e-39
336,147,4.363305951271261e-39
337,76,4.569528139297679e-39
338,694,5.010673769104697e-39
339,284,5.1819366347945096e-39
340,62,6.026525199430871e-39
341,710,6.027050347866199e-39
342,275,6.365351139291273e-39
343,751,6.732302697270955e-39
344,411,8.57146186953603e-39
345,530,9.223373467991643e-39
346,528,1.088198079800304e-38
347,204,1.200165780044165e-38
348,978,1.2019866762710254e-38
349,897,1.6677623212438037e-38
350,724,1.6749806594903393e-38
351,477,1.7082962518270058e-38
352,736,1.771000054367432e-38
353,186,1.8118162449432442e-38
354,57,2.103000874430858e-38
355,546,2.2420911856891923e-38
356,168,3.050814536895523e-38
357,646,3.277070974649731e-38
358,391,3.6952296156660164e-38
